slug,name,parent,level,description,aliases,children,last_reviewed
writing-and-content,Writing and content,,1,"Drafting, editing, and producing written material.",,long-form-writing; copywriting; grammar-and-style-checking; paraphrasing-and-rewriting; summarisation; translation-and-localisation; scriptwriting; academic-and-technical-writing; ai-content-detection,2026-08-21
long-form-writing,Long-form writing,writing-and-content,2,"Drafting articles, reports, books, and other extended pieces.",article writing,,2026-08-21
copywriting,Copywriting,writing-and-content,2,"Short persuasive text for ads, landing pages, product pages, and email.",,,2026-08-21
grammar-and-style-checking,Grammar and style checking,writing-and-content,2,Correcting mechanics and enforcing a consistent house style.,proofreading,,2026-08-21
paraphrasing-and-rewriting,Paraphrasing and rewriting,writing-and-content,2,"Restating existing text at a different length, register, or reading level.",rewriter,,2026-08-21
summarisation,Summarisation,writing-and-content,2,"Condensing documents, transcripts, or threads into their substance.",summarization; summarizer,,2026-08-21
translation-and-localisation,Translation and localisation,writing-and-content,2,Moving text between languages and adapting it for a local audience.,localization; machine translation,,2026-08-21
scriptwriting,Scriptwriting,writing-and-content,2,"Writing for video, podcast, and spoken delivery.",screenwriting,,2026-08-21
academic-and-technical-writing,Academic and technical writing,writing-and-content,2,"Papers, documentation, and other writing with citation or precision demands.",,,2026-08-21
ai-content-detection,AI content detection,writing-and-content,2,Estimating whether a passage was machine written.,ai detector,,2026-08-21
image-generation-and-editing,Image generation and editing,,1,Creating and altering still images.,,text-to-image; image-editing; background-removal; upscaling-and-restoration; product-photography; headshots-and-avatars; logo-and-brand-assets; image-apis,2026-08-21
text-to-image,Text to image,image-generation-and-editing,2,Generating an image from a written description.,ai art generator,,2026-08-21
image-editing,Image editing,image-generation-and-editing,2,"Altering an existing image, including inpainting and object removal.",,,2026-08-21
background-removal,Background removal,image-generation-and-editing,2,Separating a subject from its background.,cutout,,2026-08-21
upscaling-and-restoration,Upscaling and restoration,image-generation-and-editing,2,Raising resolution and repairing damaged or low-quality images.,super resolution,,2026-08-21
product-photography,Product photography,image-generation-and-editing,2,Producing or improving catalogue and ecommerce imagery.,,,2026-08-21
headshots-and-avatars,Headshots and avatars,image-generation-and-editing,2,Generating portraits of a person from supplied photographs.,,,2026-08-21
logo-and-brand-assets,Logo and brand assets,image-generation-and-editing,2,"Marks, icons, and vector assets for an identity.",,,2026-08-21
image-apis,Image APIs,image-generation-and-editing,2,Programmatic access to generation and editing models.,,,2026-08-21
video,Video,,1,"Producing, editing, and repurposing moving pictures.",,text-to-video; video-editing; ai-avatars-and-presenters; dubbing-and-subtitling; clipping-and-repurposing; animation-and-motion; video-enhancement; video-apis,2026-08-21
text-to-video,Text to video,video,2,Generating footage from a written description.,,,2026-08-21
video-editing,Video editing,video,2,"Cutting, assembling, and correcting existing footage.",,,2026-08-21
ai-avatars-and-presenters,AI avatars and presenters,video,2,Synthetic on-camera presenters delivering a script.,talking head,,2026-08-21
dubbing-and-subtitling,Dubbing and subtitling,video,2,Translating spoken audio and matching it to the picture.,lip sync; captions,,2026-08-21
clipping-and-repurposing,Clipping and repurposing,video,2,Cutting long footage into short vertical pieces.,shorts,,2026-08-21
animation-and-motion,Animation and motion,video,2,"Animating stills, characters, and motion graphics.",motion capture,,2026-08-21
video-enhancement,Video enhancement,video,2,"Upscaling, stabilising, denoising, and interpolating footage.",,,2026-08-21
video-apis,Video APIs,video,2,Programmatic access to video generation and processing.,,,2026-08-21
audio-music-and-voice,"Audio, music, and voice",,1,"Speech, sound, music, and everything else heard rather than read.",,text-to-speech; speech-to-text; voice-cloning; music-generation; audio-enhancement; audio-editing-and-mastering; podcast-production; voice-agents; speech-apis,2026-08-21
text-to-speech,Text to speech,audio-music-and-voice,2,Turning written text into spoken audio.,tts; voice generation,,2026-08-21
speech-to-text,Speech to text,audio-music-and-voice,2,Turning spoken audio into written text.,transcription; asr,,2026-08-21
voice-cloning,Voice cloning,audio-music-and-voice,2,Recreating a specific voice from a sample.,voice changer,,2026-08-21
music-generation,Music generation,audio-music-and-voice,2,Composing or producing music and sound beds.,,,2026-08-21
audio-enhancement,Audio enhancement,audio-music-and-voice,2,"Removing noise, echo, and artefacts from recordings.",noise removal,,2026-08-21
audio-editing-and-mastering,Audio editing and mastering,audio-music-and-voice,2,"Assembling, balancing, and finishing audio.",,,2026-08-21
podcast-production,Podcast production,audio-music-and-voice,2,"Recording, editing, and publishing spoken-word shows.",,,2026-08-21
voice-agents,Voice agents,audio-music-and-voice,2,Systems that hold a spoken conversation and take action.,voice bot,,2026-08-21
speech-apis,Speech APIs,audio-music-and-voice,2,Programmatic access to speech recognition and synthesis.,,,2026-08-21
coding-and-development,Coding and development,,1,"Writing, reviewing, testing, and shipping software.",,code-completion; ai-code-editors; coding-agents; code-review; testing-and-qa; debugging; documentation; terminal-assistants; database-and-sql; devops-and-infrastructure; application-security; frontend-and-ui-generation,2026-08-21
